aggregation,spread_national,overprediction_national,underprediction_national,wis_national,c50_national,c95_national,spread_state,overprediction_state,underprediction_state,wis_state,c50_state,c95_state,spread_age,overprediction_age,underprediction_age,wis_age,c50_age,c95_age,model
mean,251.40893973590687,445.2339262164553,895.0923833381142,1591.7352492904763,0.3979591836734694,0.7397959183673469,57.14195075284038,94.4770502413946,94.7258429201358,246.3448439143708,0.5172305764411027,0.8464464733261726,67.54289972385091,101.41511188998496,73.0328606869986,241.9908723008344,0.4961734693877551,0.8535997732426304,NLinear + QR
std,144.38972990083943,648.0612518336461,646.646043767802,320.1212726470649,0.098879604452046,0.1795744425713832,22.69314493986159,105.79930386703631,69.51191854708829,50.503266641272106,0.0860457413126292,0.1161140697579384,26.54821090512165,116.70430433345813,68.56960482564757,74.10738974464863,0.1039402996442591,0.1305092518685895,NLinear + QR
mean,223.88324362365327,398.6767770768216,865.2929691182161,1487.8529898186907,0.3809523809523809,0.7568027210884355,52.40721418844368,88.13698741668959,96.92196341038895,237.46616501552225,0.4985678481919083,0.860186179735052,62.26681103587009,96.35542661931426,78.16078841778267,236.78302607296703,0.4910714285714285,0.8755668934240362,DLinear + QR
std,124.42207287836516,589.9825534483872,578.6310758165033,213.48558956203897,0.127761730718472,0.1548422457234109,21.56178689492488,101.72180771482074,70.33889364809498,45.116945218088766,0.1204274769216423,0.1005092630677824,26.82871787977778,114.41191083295686,73.5803737601977,69.92672488778805,0.1431552101825695,0.1125840920417396,DLinear + QR
mean,444.9107108009645,684.3543052626832,317.6481389396452,1446.9131550032928,0.6462585034013605,0.9149659863945576,67.86822697861568,104.75224185749512,63.73803188658493,236.3585007226957,0.6153777300393841,0.9153240243465808,71.69917393980161,101.52229861940116,73.61857938797654,246.8400519471793,0.6099773242630385,0.9238945578231292,TSMixer + QR
std,294.13325665414976,1269.5457699305646,280.9103796607317,1221.6610286022342,0.1163742592143608,0.0976433400289344,34.26396687303297,178.03908459381302,42.96907982093873,160.23965863959629,0.0968237334255372,0.0601778618598445,31.021932449888418,164.87497314329136,45.79110167003188,143.34333933399603,0.0848495732152761,0.0546861932785184,TSMixer + QR
mean,180.59312074829936,622.1301020408163,319.28690476190474,1122.0101275510203,0.3869047619047618,0.754251700680272,34.91643662728249,95.99800393841748,61.61160042964554,192.52604099534548,0.4806659505907626,0.8153419262441819,38.55083900226757,98.06609977324264,68.17718253968255,204.7941213151928,0.4390589569160998,0.8065476190476191,TSMixer + NB
std,15.528682856482128,724.7350072342646,259.1848045318537,635.0864903261527,0.103279051812963,0.1464353858425275,3.4750811919652014,109.27772956107307,43.71671211583183,86.48851682940054,0.0592057461943965,0.1270641583549946,4.548802471187394,114.9642412227496,48.11675459845349,89.42288339800265,0.066271271823777,0.1367803233000147,TSMixer + NB
mean,147.20538265306124,857.2484693877551,518.1438775510204,1522.5977295918372,0.2448979591836734,0.6130952380952381,30.198993913354816,139.2077157178661,82.79965986394558,252.20636949516648,0.4345685642678124,0.7513873970640889,33.23710742630386,146.4777494331066,87.88452380952383,267.59938066893426,0.3996598639455782,0.7327097505668934,TFT + NB
std,33.34149936691661,906.0229977409778,468.8868950613427,638.6246871930612,0.0796310735311292,0.0933780336622235,6.355840321415712,142.45618435656797,74.02414236552313,97.24431866593464,0.0327867279880512,0.0829990887480296,6.973677877939174,154.18270865410858,74.88444853435468,104.90390196639432,0.0544005060504075,0.0885312579800654,TFT + NB
mean,392.7769642195738,423.8159611516591,324.6339973831608,1141.2269227543939,0.6845238095238096,0.9277210884353743,69.59081742449511,68.4035478266372,63.02492115307362,201.01928640420593,0.6689491586108128,0.9296902971715002,82.5971729657348,71.78537357206852,69.17921290700805,223.5617594448114,0.6816893424036281,0.9229024943310656,TFT + QR
std,205.41495129790414,575.2177552546874,298.28471434978235,349.7237491893367,0.09741647425959647,0.08804039214099953,18.037645481226335,83.6153760835993,51.05766628632684,47.66943302989045,0.08095701959624294,0.06876875381404415,29.673002311205416,89.32277058135296,59.218912115511934,57.170413493306945,0.08587621478688778,0.08683911725674234,TFT + QR
